# aip_tip_1480618933.out
#
# Format: <prover> <axiom type> <tip file> <status> <computation time in seconds>
#
# The status column indicates whether a proof was found:
# Success indicates a proof was found.
# Failure indicates that the problem (with induction axioms) does not admit a proof.
# Error indicates abnormal termination.
#
# The TIP problems which are not listed below either terminated abnormally or
# reached the timeout (300 s).

spass independent ./../benchmarks/benchmarks/isaplanner/prop_45.smt2 error -1
spass independent ./../benchmarks/benchmarks/isaplanner/prop_42.smt2 error -1
spass independent ./../benchmarks/benchmarks/isaplanner/prop_17.smt2 error -1
spass independent ./../benchmarks/benchmarks/isaplanner/prop_03.smt2 error -1
spass independent ./../benchmarks/benchmarks/isaplanner/prop_18.smt2 error -1
spass independent ./../benchmarks/benchmarks/isaplanner/prop_16.smt2 error -1
spass independent ./../benchmarks/benchmarks/isaplanner/prop_24.smt2 error -1
spass independent ./../benchmarks/benchmarks/isaplanner/prop_25.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/nat_lt_trans.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/heap_merge.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/escape_Injective.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/propositional_AndCommutative.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/sort_BSortIsSort.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/list_Select.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/list_z_elem.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/list_elem.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/list_elem_map.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/sort_HSortIsSort.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/list_weird_is_normal.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/heap_minimum.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/sort_MSortTDPermutes.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/sort_QSortSorts.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/sort_MSortBU2Count.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/nat_boring_min_idem.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/sort_SSortIsSort.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/nat_alt_mul_assoc.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/list_return_2.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/int_add_ident_right.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/sort_QSortCount.smt2 error -1
